sample_collect_date	Genesee	Potlatch	Juliaetta	Troy	Kendrick						
2023-07-27	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-07-30	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-01	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-03	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-06	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-08	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-10	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-13	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-15	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-17	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-20	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-22	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-24	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-27	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-29	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-08-31	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-09-03	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-09-05	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-09-07	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-09-10	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-09-12	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-09-14	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-09-17	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-09-19	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-09-21	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-09-24	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-09-26	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-09-28	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-01	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-03	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-05	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-08	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-10	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-12	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-15	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-17	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-19	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-22	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-24	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-26	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-29	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-10-31	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-11-02	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-11-05	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-11-07	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-11-09	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-11-12	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-11-14	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-11-16	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-11-19	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-11-21	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-11-23	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-11-26	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-11-28	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-11-30	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-12-03	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-12-05	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-12-07	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-12-10	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-12-12	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-12-14	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-12-17	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-12-19	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-12-21	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-12-24	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-12-26	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-12-28	#REF!	#REF!	#REF!	#REF!	#REF!						
2023-12-31	#REF!	#REF!	#REF!	#REF!	#REF!						
2024-01-02	#REF!	#REF!	#REF!	#REF!	#REF!						
2024-01-04	#REF!	#REF!	#REF!	#REF!	#REF!						
											
											
											
